,dewpoint,height,pressure,relative humidity,temperature
0,999.0,48.0,1000.0,999.0,999.0
1,999.0,1436.0,850.0,999.0,999.0
2,4.2,1703.0,824.0,39.5,18.2
3,999.0,1828.0,9999.0,999.0,999.0
4,1.4,1997.8,796.0,44.0,13.4
5,999.0,2133.0,9999.0,999.0,999.0
6,999.0,2438.0,9999.0,999.0,999.0
7,999.0,2743.0,9999.0,999.0,999.0
8,999.0,3047.0,9999.0,999.0,999.0
9,-2.4,3051.0,700.0,64.8,3.6
10,-5.0,3381.5,672.0,64.2,1.0
11,-8.4,3514.3,661.0,50.9,0.6
12,999.0,3657.0,9999.0,999.0,999.0
13,999.0,4267.0,9999.0,999.0,999.0
14,-14.9,4402.1,591.0,52.9,-6.9
15,-18.3,4455.1,587.0,41.1,-7.3
16,-16.7,4793.0,562.0,56.7,-9.7
17,999.0,4876.0,9999.0,999.0,999.0
18,-28.1,4931.6,552.0,21.4,-10.1
19,-31.1,5044.0,544.0,17.5,-11.1
20,-24.5,5214.9,532.0,36.0,-12.5
21,-24.1,5680.0,500.0,50.2,-16.1
22,999.0,6095.0,9999.0,999.0,999.0
23,-32.5,6095.5,473.0,30.6,-19.5
24,-27.3,6254.0,463.0,53.6,-20.3
25,-27.5,6399.1,454.0,58.4,-21.5
26,-43.1,6797.4,430.0,15.6,-24.1
27,-36.1,7320.0,400.0,46.3,-28.1
28,999.0,7619.0,9999.0,999.0,999.0
29,-43.5,7913.2,368.0,32.6,-32.5
30,-43.5,8405.9,343.0,43.7,-35.5
31,999.0,9143.0,9999.0,999.0,999.0
32,-52.9,9320.0,300.0,36.1,-43.9
33,-59.5,10520.0,250.0,53.8,-54.5
34,999.0,10667.0,9999.0,999.0,999.0
35,999.0,10972.0,9999.0,999.0,999.0
36,-67.5,11360.0,219.0,30.4,-58.5
37,-67.9,11593.6,211.0,30.3,-58.9
38,999.0,11887.0,9999.0,999.0,999.0
39,-67.1,11930.0,200.0,18.7,-54.1
40,-65.7,12060.5,196.0,15.2,-50.7
41,-69.5,12580.3,181.0,7.8,-49.5
42,999.0,12801.0,9999.0,999.0,999.0
43,-75.7,13298.3,162.0,5.8,-54.7
44,999.0,13715.0,9999.0,999.0,999.0
45,-76.5,13790.0,150.0,5.6,-55.5
46,-77.3,14050.2,144.0,4.8,-55.3
47,-74.7,14417.6,136.0,4.7,-51.7
48,999.0,15239.0,9999.0,999.0,999.0
49,999.0,15849.0,9999.0,999.0,999.0
50,-80.7,15884.5,108.0,5.5,-60.7
51,999.0,16154.0,9999.0,999.0,999.0
52,-80.5,16370.0,100.0,5.6,-60.5
53,999.0,16450.0,9999.0,999.0,999.0
54,-80.5,16515.2,97.7,4.9,-59.5
55,-81.7,17330.8,85.7,5.4,-61.7
56,999.0,17670.0,9999.0,999.0,999.0
57,-80.9,18580.0,70.0,5.5,-60.9
58,-78.3,20690.0,50.0,5.3,-57.3
59,999.0,21330.0,9999.0,999.0,999.0
60,-78.3,21426.4,44.5,5.3,-57.3
61,-76.5,22465.9,37.8,4.4,-53.5
62,-77.5,23950.0,30.0,4.3,-54.5
63,-71.5,26600.0,20.0,4.2,-46.5
64,999.0,27430.0,9999.0,999.0,999.0
65,999.0,28340.0,9999.0,999.0,999.0
66,999.0,28650.0,9999.0,999.0,999.0
67,999.0,30480.0,9999.0,999.0,999.0
68,-65.3,30712.9,10.9,3.1,-35.3
69,999.0,30780.0,9999.0,999.0,999.0
70,-66.7,31310.0,10.0,2.9,-36.7
71,999.0,31390.0,9999.0,999.0,999.0
