,dewpoint,height,pressure,relative humidity,temperature
0,999.0,99999.0,1000.0,999.0,999.0
1,999.0,1387.0,850.0,999.0,999.0
2,5.5,1703.0,819.0,83.1,8.2
3,3.0,1774.6,812.0,54.1,12.0
4,999.0,1828.0,9999.0,999.0,999.0
5,999.0,2133.0,9999.0,999.0,999.0
6,-0.4,2317.1,761.0,49.7,9.6
7,999.0,2438.0,9999.0,999.0,999.0
8,999.0,2743.0,9999.0,999.0,999.0
9,-2.2,3001.0,700.0,60.5,4.8
10,999.0,3657.0,9999.0,999.0,999.0
11,-6.0,4043.2,615.0,82.8,-3.5
12,999.0,4267.0,9999.0,999.0,999.0
13,999.0,4571.0,9999.0,999.0,999.0
14,999.0,4876.0,9999.0,999.0,999.0
15,-13.1,4893.0,552.0,62.2,-7.1
16,-19.1,5650.0,500.0,60.7,-13.1
17,999.0,6095.0,9999.0,999.0,999.0
18,-24.4,6832.0,427.0,86.0,-22.7
19,999.0,7010.0,9999.0,999.0,999.0
20,-28.1,7310.0,400.0,81.7,-25.9
21,999.0,7619.0,9999.0,999.0,999.0
22,999.0,8229.0,9999.0,999.0,999.0
23,-40.6,8695.7,329.0,68.4,-36.9
24,999.0,9143.0,9999.0,999.0,999.0
25,-46.8,9320.0,300.0,64.0,-42.7
26,-57.8,10520.0,250.0,65.1,-54.3
27,999.0,10667.0,9999.0,999.0,999.0
28,999.0,11277.0,9999.0,999.0,999.0
29,-65.0,11326.1,220.0,62.9,-61.5
30,-61.6,11920.0,200.0,55.1,-56.9
31,999.0,12191.0,9999.0,999.0,999.0
32,-64.1,12621.9,179.0,40.6,-57.1
33,999.0,12801.0,9999.0,999.0,999.0
34,-63.9,13667.2,152.0,22.3,-51.9
35,-65.3,13760.0,150.0,19.4,-52.3
36,999.0,14020.0,9999.0,999.0,999.0
37,-71.1,14294.6,138.0,13.6,-56.1
38,999.0,14630.0,9999.0,999.0,999.0
39,999.0,15239.0,9999.0,999.0,999.0
40,-73.5,15401.7,116.0,7.8,-54.5
41,-77.7,15913.8,107.0,6.9,-58.7
42,999.0,16154.0,9999.0,999.0,999.0
43,-77.9,16330.0,100.0,6.9,-58.9
44,-78.3,16418.3,98.6,6.8,-59.3
45,999.0,16450.0,9999.0,999.0,999.0
46,-80.1,17545.1,82.3,6.4,-61.1
47,999.0,17670.0,9999.0,999.0,999.0
48,-78.1,18125.5,75.0,6.0,-58.1
49,-78.7,18560.0,70.0,5.9,-58.7
50,-75.9,20680.0,50.0,7.3,-56.9
51,999.0,21330.0,9999.0,999.0,999.0
52,-75.3,21710.2,42.5,7.4,-56.3
53,-76.7,23940.0,30.0,3.9,-52.7
54,-74.1,25497.4,23.6,4.3,-50.1
55,-70.3,26600.0,20.0,3.9,-44.3
56,999.0,27430.0,9999.0,999.0,999.0
57,-70.9,27689.7,17.0,3.8,-44.9
58,-69.5,28444.9,15.2,3.2,-41.5
59,-66.5,30301.0,11.6,3.3,-37.5
60,999.0,30480.0,9999.0,999.0,999.0
61,999.0,30780.0,9999.0,999.0,999.0
62,999.0,31090.0,9999.0,999.0,999.0
63,-66.5,31310.0,10.0,4.0,-39.5
64,-68.3,31810.2,9.3,3.1,-39.3
65,-65.9,32038.3,9.0,3.0,-35.9
66,999.0,32610.0,9999.0,999.0,999.0
