,dewpoint,height,pressure,relative humidity,temperature
0,999.0,90.0,1000.0,999.0,999.0
1,8.4,847.0,915.0,48.9,19.4
2,999.0,914.0,9999.0,999.0,999.0
3,999.0,1219.0,9999.0,999.0,999.0
4,5.6,1477.0,850.0,62.4,12.6
5,999.0,1828.0,9999.0,999.0,999.0
6,2.5,2065.7,792.0,73.0,7.0
7,999.0,2133.0,9999.0,999.0,999.0
8,-14.2,2385.0,762.0,18.1,8.8
9,999.0,2438.0,9999.0,999.0,999.0
10,999.0,2743.0,9999.0,999.0,999.0
11,-18.6,3078.0,700.0,16.9,4.4
12,999.0,3352.0,9999.0,999.0,999.0
13,999.0,3657.0,9999.0,999.0,999.0
14,999.0,3962.0,9999.0,999.0,999.0
15,-32.3,4198.7,609.0,8.5,-3.3
16,999.0,4267.0,9999.0,999.0,999.0
17,999.0,4876.0,9999.0,999.0,999.0
18,999.0,5486.0,9999.0,999.0,999.0
19,-41.3,5720.0,500.0,8.2,-14.3
20,999.0,6095.0,9999.0,999.0,999.0
21,999.0,7315.0,9999.0,999.0,999.0
22,-50.3,7370.0,400.0,8.5,-26.3
23,999.0,7619.0,9999.0,999.0,999.0
24,-49.3,7701.6,382.0,11.5,-28.3
25,999.0,8229.0,9999.0,999.0,999.0
26,999.0,9143.0,9999.0,999.0,999.0
27,-56.9,9390.0,300.0,18.0,-41.9
28,-60.7,10169.5,267.0,20.9,-47.7
29,-59.7,10600.0,250.0,33.5,-50.7
30,999.0,10667.0,9999.0,999.0,999.0
31,999.0,10972.0,9999.0,999.0,999.0
32,-62.7,11248.6,226.0,46.5,-56.7
33,-63.3,11447.7,219.0,46.3,-57.3
34,999.0,11582.0,9999.0,999.0,999.0
35,-65.1,12020.0,200.0,35.5,-57.1
36,999.0,12496.0,9999.0,999.0,999.0
37,-69.7,13401.3,161.0,12.4,-53.7
38,-71.7,13850.0,150.0,10.5,-54.7
39,999.0,14020.0,9999.0,999.0,999.0
40,999.0,15239.0,9999.0,999.0,999.0
41,-79.3,15990.9,107.0,5.8,-59.3
42,999.0,16154.0,9999.0,999.0,999.0
43,-79.3,16410.0,100.0,6.6,-60.3
44,999.0,16450.0,9999.0,999.0,999.0
45,-80.1,16510.3,98.4,6.4,-61.1
46,-82.3,18001.5,77.3,6.0,-63.3
47,999.0,18280.0,9999.0,999.0,999.0
48,-80.1,18610.0,70.0,6.4,-61.1
49,999.0,19500.0,9999.0,999.0,999.0
50,-78.5,20710.0,50.0,6.0,-58.5
51,999.0,21330.0,9999.0,999.0,999.0
52,-75.1,23980.0,30.0,4.1,-51.1
53,-75.7,24155.5,29.2,4.0,-51.7
54,-70.7,25954.4,22.2,4.3,-45.7
55,-71.9,26650.0,20.0,4.1,-46.9
56,999.0,27430.0,9999.0,999.0,999.0
57,999.0,27730.0,9999.0,999.0,999.0
58,-71.1,28177.6,15.9,3.8,-45.1
59,-65.7,29546.8,13.0,3.7,-37.7
60,999.0,30480.0,9999.0,999.0,999.0
61,-65.7,30839.5,10.8,3.0,-35.7
62,-66.1,31350.0,10.0,3.0,-36.1
63,999.0,31690.0,9999.0,999.0,999.0
