,dewpoint,height,pressure,relative humidity,temperature
0,999.0,153.0,1000.0,999.0,999.0
1,18.3,180.0,990.0,89.9,20.0
2,999.0,300.0,9999.0,999.0,999.0
3,999.0,600.0,9999.0,999.0,999.0
4,15.8,723.1,930.0,68.7,21.8
5,15.4,770.1,925.0,68.6,21.4
6,999.0,900.0,9999.0,999.0,999.0
7,15.1,1230.8,877.0,85.3,17.6
8,11.9,1557.0,850.0,74.7,16.4
9,999.0,2100.0,9999.0,999.0,999.0
10,999.0,2400.0,9999.0,999.0,999.0
11,3.2,2549.0,756.0,57.8,11.2
12,-0.2,3182.0,700.0,65.3,5.8
13,999.0,4200.0,9999.0,999.0,999.0
14,-4.6,4560.7,590.0,94.9,-3.9
15,-5.6,5028.8,556.0,96.3,-5.1
16,-11.4,5702.7,510.0,86.0,-9.5
17,-14.4,5850.0,500.0,73.0,-10.5
18,-19.7,5958.6,493.0,47.6,-10.7
19,999.0,6000.0,9999.0,999.0,999.0
20,-29.7,6211.6,477.0,22.7,-12.7
21,-27.5,6821.4,440.0,45.1,-18.5
22,-20.8,7045.1,427.0,83.5,-18.7
23,-22.1,7347.0,410.0,87.0,-20.5
24,-23.7,7530.0,400.0,85.3,-21.9
25,999.0,8100.0,9999.0,999.0,999.0
26,-40.2,9452.9,306.0,63.2,-35.7
27,-41.9,9580.0,300.0,59.6,-36.9
28,-52.6,10820.0,250.0,56.9,-47.7
29,-66.3,12250.0,200.0,45.1,-60.3
30,-70.3,12864.9,181.0,49.8,-65.3
31,-70.1,13283.4,169.0,43.6,-64.1
32,-73.7,14000.0,150.0,42.1,-67.7
33,-74.1,14121.4,147.0,41.9,-68.1
34,-73.7,14724.0,133.0,36.6,-66.7
35,-82.3,16315.4,102.0,15.7,-70.3
36,-82.9,16440.0,100.0,13.4,-69.9
37,-84.5,16791.1,94.3,7.3,-67.5
38,-91.5,17539.8,83.2,3.2,-70.5
39,999.0,18000.0,9999.0,999.0,999.0
40,-90.5,18399.4,72.0,3.4,-69.5
41,-87.9,18560.0,70.0,3.3,-65.9
42,-87.7,18621.1,69.3,2.9,-64.7
43,-85.7,19334.7,61.7,2.7,-61.7
44,-85.3,20640.0,50.0,2.8,-61.3
45,-85.5,20714.8,49.4,2.8,-61.5
46,999.0,21000.0,9999.0,999.0,999.0
47,-79.7,22554.0,36.9,2.4,-52.7
48,999.0,23700.0,9999.0,999.0,999.0
49,-82.3,24340.7,28.0,2.2,-55.3
