,dewpoint,height,pressure,relative humidity,temperature
0,999.0,156.0,1000.0,999.0,999.0
1,18.2,180.0,991.0,95.1,19.0
2,999.0,300.0,9999.0,999.0,999.0
3,999.0,600.0,9999.0,999.0,999.0
4,16.4,776.1,925.0,76.9,20.6
5,16.0,842.1,918.0,74.9,20.6
6,999.0,900.0,9999.0,999.0,999.0
7,13.2,1394.0,861.0,82.4,16.2
8,12.8,1556.0,850.0,84.5,15.4
9,5.6,1934.2,813.0,54.8,14.6
10,999.0,2100.0,9999.0,999.0,999.0
11,5.0,2327.6,776.0,62.2,12.0
12,999.0,2400.0,9999.0,999.0,999.0
13,1.6,3179.0,700.0,77.6,5.2
14,-4.4,4094.0,625.0,85.5,-2.3
15,999.0,4200.0,9999.0,999.0,999.0
16,-21.9,5404.6,529.0,34.1,-8.9
17,-20.5,5701.9,509.0,47.3,-11.5
18,-32.5,5830.0,500.0,17.1,-12.5
19,999.0,6000.0,9999.0,999.0,999.0
20,-33.9,6093.7,483.0,16.7,-13.9
21,-23.9,6594.9,452.0,54.6,-16.9
22,-27.3,6847.7,437.0,45.1,-18.3
23,-22.2,7107.8,422.0,81.9,-19.9
24,-25.6,7500.0,400.0,78.5,-22.9
25,-27.1,7950.4,376.0,94.6,-26.5
26,-27.5,8047.2,371.0,86.4,-25.9
27,999.0,8100.0,9999.0,999.0,999.0
28,-41.5,9507.9,302.0,59.8,-36.5
29,-42.1,9550.0,300.0,59.6,-37.1
30,-52.9,10780.0,250.0,58.7,-48.3
31,-63.5,12024.7,206.0,59.4,-59.5
32,-64.9,12210.0,200.0,59.0,-60.9
33,-66.9,12658.6,186.0,59.8,-63.1
34,-68.2,12791.8,182.0,60.2,-64.5
35,-66.5,13660.8,158.0,52.6,-61.7
36,-69.5,13980.0,150.0,43.8,-63.5
37,-75.9,15139.5,124.0,27.0,-66.9
38,-89.5,16317.0,102.0,3.0,-67.5
39,-89.9,16440.0,100.0,3.0,-67.9
40,-91.9,17437.9,84.6,3.2,-70.9
41,-90.1,17983.4,77.2,3.0,-68.1
42,999.0,18000.0,9999.0,999.0,999.0
43,-92.7,18381.8,72.2,3.1,-71.7
44,-88.3,18570.0,70.0,3.2,-66.3
45,-86.5,18657.7,69.0,3.0,-63.5
46,-84.9,18950.9,65.8,2.8,-60.9
47,-87.9,19580.9,59.4,2.8,-64.9
48,-83.3,20449.6,51.6,3.0,-59.3
49,-83.1,20650.0,50.0,3.0,-59.1
50,999.0,21000.0,9999.0,999.0,999.0
51,999.0,22800.0,9999.0,999.0,999.0
