,dewpoint,height,pressure,relative humidity,temperature
0,6.2,0.0,1017.0,72.3,11.0
1,5.2,168.0,1000.0,77.1,9.0
2,1.8,808.5,925.0,86.8,3.8
3,-1.2,1501.0,850.0,60.7,5.8
4,-17.9,3066.0,700.0,28.3,-1.9
5,-43.5,5660.0,500.0,9.2,-18.5
6,-41.1,7290.0,400.0,33.4,-30.1
7,999.0,9270.0,300.0,999.0,-44.1
8,999.0,10480.0,250.0,999.0,-48.7
9,999.0,10829.6,237.0,999.0,-50.3
10,999.0,11940.0,200.0,999.0,-50.7
11,999.0,13067.7,168.0,999.0,-53.9
12,999.0,13790.0,150.0,999.0,-53.7
13,999.0,16370.0,100.0,999.0,-59.1
