,dewpoint,height,pressure,relative humidity,temperature
0,999.0,98.0,1000.0,999.0,999.0
1,5.6,871.0,913.0,80.3,8.8
2,999.0,914.0,9999.0,999.0,999.0
3,3.4,1036.0,895.0,70.8,8.4
4,999.0,1219.0,9999.0,999.0,999.0
5,1.4,1460.0,850.0,75.4,5.4
6,999.0,1828.0,9999.0,999.0,999.0
7,0.9,1912.2,804.0,95.1,1.6
8,999.0,2133.0,9999.0,999.0,999.0
9,999.0,2438.0,9999.0,999.0,999.0
10,999.0,2743.0,9999.0,999.0,999.0
11,-5.8,3016.0,700.0,97.7,-5.5
12,999.0,3047.0,9999.0,999.0,999.0
13,-6.2,3072.2,695.0,97.7,-5.9
14,-17.3,3278.6,677.0,35.6,-4.3
15,-21.1,3490.8,659.0,27.3,-5.1
16,999.0,3657.0,9999.0,999.0,999.0
17,-18.1,3830.4,631.0,44.4,-8.1
18,999.0,4267.0,9999.0,999.0,999.0
19,-22.1,4623.8,569.0,55.1,-15.1
20,-42.5,4784.9,557.0,7.9,-15.5
21,999.0,4876.0,9999.0,999.0,999.0
22,-44.5,5590.0,500.0,11.6,-22.5
23,999.0,6095.0,9999.0,999.0,999.0
24,-56.1,7190.0,400.0,9.0,-34.1
25,999.0,7619.0,9999.0,999.0,999.0
26,-58.1,7995.8,356.0,12.8,-40.1
27,-65.1,8739.9,319.0,7.1,-43.1
28,999.0,9143.0,9999.0,999.0,999.0
29,-65.1,9150.0,300.0,7.1,-43.1
30,999.0,10058.0,9999.0,999.0,999.0
31,-70.9,10370.0,250.0,3.8,-44.9
32,999.0,10667.0,9999.0,999.0,999.0
33,-72.3,11014.3,227.0,3.3,-45.3
34,999.0,11582.0,9999.0,999.0,999.0
35,-73.5,11860.0,200.0,3.5,-47.5
36,999.0,12496.0,9999.0,999.0,999.0
37,999.0,13411.0,9999.0,999.0,999.0
38,-75.7,13740.0,150.0,3.6,-50.7
39,999.0,14020.0,9999.0,999.0,999.0
40,-76.5,14571.0,132.0,3.5,-51.5
41,999.0,14630.0,9999.0,999.0,999.0
42,999.0,15239.0,9999.0,999.0,999.0
43,-82.1,15912.1,107.0,3.6,-59.1
44,999.0,16154.0,9999.0,999.0,999.0
45,-78.1,16340.0,100.0,3.7,-54.1
46,999.0,16450.0,9999.0,999.0,999.0
47,-81.3,16754.3,93.7,3.3,-57.3
48,-80.5,17245.8,86.7,3.4,-56.5
49,-83.7,17934.4,77.7,3.4,-60.7
50,999.0,18280.0,9999.0,999.0,999.0
51,-80.7,18509.0,70.9,3.3,-56.7
52,-81.1,18590.0,70.0,3.3,-57.1
53,-83.1,18978.7,65.8,3.5,-60.1
54,-80.7,20710.0,50.0,3.3,-56.7
55,-81.5,21250.0,45.9,3.7,-58.5
56,999.0,21330.0,9999.0,999.0,999.0
57,-81.1,21767.1,42.3,2.6,-55.1
58,-77.7,23960.0,30.0,3.3,-52.7
59,-77.1,24713.3,26.7,3.4,-52.1
60,999.0,26510.0,9999.0,999.0,999.0
61,-73.5,26610.0,20.0,3.5,-47.5
62,999.0,27430.0,9999.0,999.0,999.0
63,999.0,29560.0,9999.0,999.0,999.0
64,-66.5,29565.4,12.9,3.3,-37.5
65,999.0,29870.0,9999.0,999.0,999.0
66,999.0,30480.0,9999.0,999.0,999.0
67,-66.5,31330.0,10.0,2.9,-36.5
68,999.0,32300.0,9999.0,999.0,999.0
