,dewpoint,height,pressure,relative humidity,temperature
0,24.7,84.0,1004.0,94.8,25.6
1,24.0,121.0,1000.0,92.0,25.4
2,999.0,300.0,9999.0,999.0,999.0
3,999.0,600.0,9999.0,999.0,999.0
4,21.7,805.7,925.0,99.4,21.8
5,999.0,900.0,9999.0,999.0,999.0
6,16.5,1537.0,850.0,99.4,16.6
7,14.0,1884.5,816.0,98.7,14.2
8,999.0,2100.0,9999.0,999.0,999.0
9,9.3,2137.2,792.0,74.3,13.8
10,999.0,2400.0,9999.0,999.0,999.0
11,7.3,3171.0,700.0,99.3,7.4
12,5.7,3446.0,677.0,99.3,5.8
13,-0.6,3716.4,655.0,70.0,4.4
14,-20.2,3983.2,634.0,13.4,5.8
15,999.0,4200.0,9999.0,999.0,999.0
16,-8.8,4311.8,609.0,41.0,3.2
17,-25.2,4568.7,590.0,11.4,1.8
18,-9.8,4790.3,574.0,47.0,0.2
19,-40.7,5323.6,537.0,3.3,-1.7
20,-18.3,5880.0,500.0,35.2,-5.3
21,999.0,6000.0,9999.0,999.0,999.0
22,-12.9,6281.4,475.0,67.3,-7.9
23,-21.3,7600.0,400.0,65.3,-16.3
24,-21.8,7886.6,385.0,75.2,-18.5
25,999.0,8100.0,9999.0,999.0,999.0
26,-40.3,9700.0,300.0,40.7,-31.3
27,-63.5,10285.6,276.0,4.0,-35.5
28,-72.3,10970.0,250.0,1.9,-40.3
29,-81.3,12450.0,200.0,2.0,-53.3
30,-91.3,14230.0,150.0,2.4,-68.3
31,-94.3,14767.1,137.0,2.8,-73.3
32,-99.9,16456.5,102.0,4.2,-82.9
33,-99.9,16570.0,100.0,4.8,-83.7
34,-99.9,16843.1,95.2,4.5,-83.3
35,-93.7,17590.2,83.5,2.9,-72.7
36,999.0,18000.0,9999.0,999.0,999.0
37,-96.1,18093.3,76.6,2.6,-75.1
38,-92.3,18335.6,73.5,2.7,-70.3
39,-91.7,18630.0,70.0,2.8,-69.7
40,-92.3,19007.0,65.7,2.7,-70.3
41,-90.1,19117.3,64.5,2.6,-67.1
42,-92.7,20522.6,51.0,2.6,-70.7
43,-91.5,20640.0,50.0,2.8,-69.5
44,999.0,21000.0,9999.0,999.0,999.0
45,-90.5,21391.9,44.1,2.5,-67.5
46,-91.5,21917.0,40.4,2.8,-69.5
47,999.0,22200.0,9999.0,999.0,999.0
48,-87.3,22792.3,35.0,2.5,-63.3
