,dewpoint,height,pressure,relative humidity,temperature
0,999.0,77.0,1000.0,999.0,999.0
1,18.6,358.0,968.0,73.6,23.6
2,16.8,385.3,965.0,64.9,23.8
3,999.0,609.0,9999.0,999.0,999.0
4,16.1,754.9,925.0,76.3,20.4
5,999.0,914.0,9999.0,999.0,999.0
6,15.1,1126.0,886.0,89.7,16.8
7,999.0,1219.0,9999.0,999.0,999.0
8,12.4,1479.0,850.0,87.8,14.4
9,10.8,1823.4,816.0,93.6,11.8
10,999.0,1828.0,9999.0,999.0,999.0
11,999.0,2133.0,9999.0,999.0,999.0
12,999.0,2438.0,9999.0,999.0,999.0
13,999.0,2743.0,9999.0,999.0,999.0
14,2.9,3092.0,700.0,92.5,4.0
15,999.0,3352.0,9999.0,999.0,999.0
16,999.0,3657.0,9999.0,999.0,999.0
17,-0.1,3766.4,644.0,99.3,0.0
18,999.0,4267.0,9999.0,999.0,999.0
19,999.0,4571.0,9999.0,999.0,999.0
20,-12.9,4805.2,565.0,57.7,-5.9
21,999.0,4876.0,9999.0,999.0,999.0
22,-13.8,5347.6,527.0,70.9,-9.5
23,-19.7,5451.0,520.0,43.9,-9.7
24,-14.1,5646.2,507.0,77.2,-10.9
25,-15.9,5750.0,500.0,72.1,-11.9
26,-17.4,5904.3,490.0,71.2,-13.3
27,-29.5,6092.8,478.0,26.8,-14.5
28,999.0,6095.0,9999.0,999.0,999.0
29,-33.3,6317.4,464.0,21.6,-16.3
30,-27.7,6681.4,442.0,45.0,-18.7
31,-43.5,7273.8,408.0,12.9,-22.5
32,-42.5,7420.0,400.0,15.7,-23.5
33,999.0,7619.0,9999.0,999.0,999.0
34,-38.9,7679.3,386.0,28.5,-25.9
35,-32.3,7754.7,382.0,57.0,-26.3
36,-30.2,8024.3,368.0,73.5,-26.9
37,999.0,8229.0,9999.0,999.0,999.0
38,999.0,9143.0,9999.0,999.0,999.0
39,-41.9,9460.0,300.0,67.4,-38.1
40,999.0,9753.0,9999.0,999.0,999.0
41,999.0,10667.0,9999.0,999.0,999.0
42,-52.8,10690.0,250.0,62.2,-48.7
43,999.0,10972.0,9999.0,999.0,999.0
44,999.0,11277.0,9999.0,999.0,999.0
45,999.0,11887.0,9999.0,999.0,999.0
46,-63.5,11966.5,205.0,55.1,-58.9
47,-63.7,12120.0,200.0,52.3,-58.7
48,-63.9,12247.0,196.0,46.1,-57.9
49,-68.9,12744.2,181.0,38.7,-61.9
50,999.0,12801.0,9999.0,999.0,999.0
51,-64.9,12919.4,176.0,35.6,-56.9
52,-70.9,13847.4,152.0,15.4,-56.9
53,-71.1,13930.0,150.0,15.3,-57.1
54,999.0,14325.0,9999.0,999.0,999.0
55,-77.1,14684.0,133.0,10.3,-61.1
56,999.0,15239.0,9999.0,999.0,999.0
57,-78.7,15533.6,116.0,7.6,-60.7
58,999.0,15544.0,9999.0,999.0,999.0
59,-81.5,16205.4,104.0,9.2,-65.5
60,-82.1,16440.0,100.0,7.9,-65.1
61,999.0,16450.0,9999.0,999.0,999.0
62,-83.3,16751.5,95.0,7.6,-66.3
63,999.0,16760.0,9999.0,999.0,999.0
64,-81.3,17294.8,86.9,7.1,-63.3
65,999.0,18590.0,9999.0,999.0,999.0
66,-82.3,18620.0,70.0,6.0,-63.3
67,-82.3,18824.7,67.7,6.8,-64.3
68,-78.9,19923.6,56.7,5.2,-57.9
69,-77.9,20720.0,50.0,5.4,-56.9
70,999.0,21330.0,9999.0,999.0,999.0
71,-79.5,21442.6,44.6,4.5,-57.5
72,999.0,22250.0,9999.0,999.0,999.0
73,999.0,22550.0,9999.0,999.0,999.0
74,-76.9,22775.3,36.2,3.4,-51.9
75,-78.1,23990.0,30.0,3.3,-53.1
76,999.0,24680.0,9999.0,999.0,999.0
77,-77.5,24693.8,26.9,3.4,-52.5
78,999.0,24990.0,9999.0,999.0,999.0
79,999.0,25900.0,9999.0,999.0,999.0
80,-71.5,26226.8,21.3,3.4,-44.5
81,-70.9,26650.0,20.0,3.4,-43.9
82,999.0,27120.0,9999.0,999.0,999.0
83,999.0,27430.0,9999.0,999.0,999.0
84,-70.5,28113.3,16.1,3.1,-42.5
85,-70.1,28416.8,15.4,2.3,-39.1
86,-68.5,29960.1,12.3,3.4,-40.5
87,-66.1,30365.4,11.6,3.0,-36.1
88,999.0,30480.0,9999.0,999.0,999.0
89,-67.7,31591.4,9.7,2.5,-36.7
