,dewpoint,height,pressure,relative humidity,temperature
0,999.0,69.0,1000.0,999.0,999.0
1,16.0,196.0,985.0,88.1,18.0
2,999.0,304.0,9999.0,999.0,999.0
3,999.0,609.0,9999.0,999.0,999.0
4,13.9,642.6,935.0,82.0,17.0
5,13.3,734.7,925.0,76.9,17.4
6,10.0,894.5,908.0,52.5,20.0
7,999.0,914.0,9999.0,999.0,999.0
8,999.0,1219.0,9999.0,999.0,999.0
9,6.0,1465.0,850.0,45.3,18.0
10,999.0,1828.0,9999.0,999.0,999.0
11,999.0,2133.0,9999.0,999.0,999.0
12,999.0,2438.0,9999.0,999.0,999.0
13,999.0,2743.0,9999.0,999.0,999.0
14,-0.6,3088.0,700.0,65.2,5.4
15,-1.5,3469.3,668.0,74.4,2.6
16,999.0,3657.0,9999.0,999.0,999.0
17,-5.4,3703.2,649.0,55.6,2.6
18,-12.5,4228.1,608.0,42.9,-1.5
19,999.0,4267.0,9999.0,999.0,999.0
20,999.0,4876.0,9999.0,999.0,999.0
21,-31.9,5139.2,542.0,10.0,-4.9
22,999.0,5181.0,9999.0,999.0,999.0
23,-25.7,5448.7,521.0,22.1,-7.7
24,-32.1,5760.0,500.0,13.6,-9.1
25,-42.3,6027.3,483.0,5.3,-10.3
26,999.0,6095.0,9999.0,999.0,999.0
27,-41.9,7450.0,400.0,15.9,-22.9
28,999.0,7619.0,9999.0,999.0,999.0
29,-48.1,7977.6,372.0,11.8,-27.1
30,999.0,8534.0,9999.0,999.0,999.0
31,999.0,8839.0,9999.0,999.0,999.0
32,999.0,9143.0,9999.0,999.0,999.0
33,-54.3,9159.8,315.0,11.4,-34.3
34,-44.5,9490.0,300.0,47.9,-37.5
35,999.0,9753.0,9999.0,999.0,999.0
36,-41.7,9794.8,287.0,74.7,-38.9
37,999.0,10667.0,9999.0,999.0,999.0
38,-50.0,10730.0,250.0,68.9,-46.7
39,-53.3,11081.5,237.0,67.2,-49.9
40,999.0,11582.0,9999.0,999.0,999.0
41,-60.1,12180.0,200.0,60.6,-56.1
42,999.0,13715.0,9999.0,999.0,999.0
43,-74.1,13921.7,151.0,41.9,-68.1
44,-72.9,13950.0,150.0,42.4,-66.9
45,-70.3,14031.7,148.0,38.1,-63.3
46,-69.9,14286.8,142.0,33.5,-61.9
47,999.0,14630.0,9999.0,999.0,999.0
48,999.0,15239.0,9999.0,999.0,999.0
49,999.0,15544.0,9999.0,999.0,999.0
50,-76.7,15853.2,110.0,20.3,-65.7
51,999.0,16154.0,9999.0,999.0,999.0
52,-75.1,16440.0,100.0,16.0,-62.1
53,999.0,16450.0,9999.0,999.0,999.0
54,-75.9,16672.5,96.3,15.7,-62.9
55,999.0,16760.0,9999.0,999.0,999.0
56,-81.9,17574.9,83.0,13.8,-68.9
57,-80.1,17811.5,79.8,12.5,-66.1
58,999.0,17980.0,9999.0,999.0,999.0
59,-81.9,18347.8,73.0,13.8,-68.9
60,-80.5,18600.0,70.0,10.8,-65.5
61,-80.1,18966.3,65.9,12.5,-66.1
62,-75.1,19442.1,61.0,10.9,-59.1
63,-74.9,20690.0,50.0,9.7,-57.9
64,999.0,21330.0,9999.0,999.0,999.0
65,999.0,22250.0,9999.0,999.0,999.0
66,-72.9,22265.2,39.0,9.0,-54.9
67,-76.3,23348.9,32.9,6.4,-56.3
68,999.0,23470.0,9999.0,999.0,999.0
69,-73.9,23940.0,30.0,6.1,-52.9
70,-73.1,24696.2,26.7,5.0,-50.1
71,999.0,25290.0,9999.0,999.0,999.0
72,-74.3,25473.0,23.7,4.8,-51.3
73,999.0,26210.0,9999.0,999.0,999.0
74,-72.1,26580.0,20.0,5.1,-49.1
75,-71.3,27059.5,18.6,4.2,-46.3
76,999.0,27430.0,9999.0,999.0,999.0
77,999.0,29870.0,9999.0,999.0,999.0
78,-46.7,30317.3,11.5,31.4,-35.7
